Region,Country,Product Category,Product Name,Sales Amount,Year,Discount,Profit Margin,Order Priority,Customer Age,Payment Method,Delivery Status
Asia,Japan,Furniture,Chair,8503.51,2023,28.56,36.48,Medium,67,Credit Card,Pending
Europe,UK,Electronics,Smartphone,9880.77,2024,27.26,14.88,High,68,PayPal,Shipped
Europe,Italy,Food,Bread,10118.6,2024,25.92,26.45,High,46,Cash,Delivered
North America,USA,Clothing,Jacket,13913.27,2023,29.01,37.05,Medium,63,Bank Transfer,Shipped
Asia,China,Food,Fruit,13961.31,2024,6.1,45.3,Low,52,Bank Transfer,Pending
Africa,Nigeria,Clothing,Dress,18407.05,2023,29.4,27.66,Medium,30,Credit Card,Delivered
North America,Mexico,Clothing,Dress,4406.49,2024,12.89,14.28,Medium,24,PayPal,Pending
South America,Chile,Furniture,Sofa,4592.5,2024,7.81,29.37,Low,52,PayPal,Delivered
Europe,UK,Electronics,Tablet,19509.27,2025,6.58,19.83,Medium,18,Credit Card,Delivered
Europe,France,Clothing,Shirt,2899.45,2025,26.75,29.96,High,22,Credit Card,Shipped
Asia,India,Furniture,Chair,18357.39,2024,25.44,15.98,Low,42,Bank Transfer,Delivered
Europe,Germany,Clothing,Jacket,6366.15,2024,26.23,19.46,High,40,Bank Transfer,Delivered
North America,USA,Electronics,Camera,5776.1,2023,22.09,13.08,Low,31,PayPal,Delivered
Europe,UK,Furniture,Chair,4368.13,2025,16.21,14.13,High,45,PayPal,Pending
Asia,China,Electronics,Tablet,7065.8,2023,10.7,32.96,Medium,55,PayPal,Shipped
North America,Mexico,Clothing,Jeans,9858.65,2024,26.42,32.29,Low,26,Bank Transfer,Shipped
Africa,Egypt,Clothing,Shirt,6298.05,2023,21.16,15.17,High,56,Cash,Shipped
Asia,China,Food,Cheese,14214.92,2024,20.23,48.89,Medium,26,Cash,Shipped
Asia,China,Food,Bread,8329.67,2025,22.63,22.48,Medium,37,Cash,Delivered
Africa,South Africa,Furniture,Chair,7091.83,2024,13.94,42.45,Low,68,Cash,Delivered
South America,Brazil,Food,Bread,16996.31,2025,8.43,18.56,Medium,26,Cash,Shipped
South America,Argentina,Furniture,Bed,11536.99,2025,12.64,11.75,High,31,PayPal,Shipped
Europe,Germany,Food,Bread,16016.24,2025,13.45,20.88,Low,41,PayPal,Shipped
North America,Canada,Electronics,Smartphone,16718.87,2023,6.32,30.04,High,61,Cash,Delivered
South America,Chile,Clothing,Dress,8840.48,2024,28.39,23.34,Medium,41,PayPal,Delivered
Europe,France,Furniture,Chair,13284.58,2024,14.47,27.87,Medium,63,Bank Transfer,Pending
South America,Argentina,Furniture,Chair,8094.6,2023,25.06,36.95,Low,40,Credit Card,Shipped
Asia,India,Clothing,Dress,7069.86,2024,18.82,41.68,Medium,59,Credit Card,Pending
Africa,Egypt,Food,Fruit,12601.44,2024,13.8,18.39,High,29,Cash,Pending
Africa,Egypt,Furniture,Bed,1892.91,2024,26.47,47.68,High,30,Credit Card,Delivered
Europe,Germany,Food,Bread,16984.24,2025,7.03,32.52,Medium,41,Bank Transfer,Delivered
South America,Chile,Clothing,Jacket,13761.07,2024,9.04,45.98,Medium,27,Cash,Pending
South America,Chile,Electronics,Tablet,8717.3,2024,27.11,43.3,High,63,Cash,Pending
South America,Brazil,Electronics,Laptop,11725.49,2025,7.78,20.78,High,25,Cash,Shipped
North America,Canada,Food,Fruit,4365.5,2023,21.54,31.19,High,60,Cash,Pending
North America,Mexico,Food,Fruit,16525.86,2024,5.29,46.94,Low,24,PayPal,Pending
Africa,Nigeria,Food,Cheese,5429.06,2024,24.27,20.07,Low,63,Cash,Shipped
North America,USA,Clothing,Shirt,13905.03,2024,25.21,31.27,High,34,Credit Card,Pending
Europe,UK,Electronics,Tablet,17945.14,2024,12.31,46.3,Medium,18,Credit Card,Pending
South America,Brazil,Furniture,Bed,17668.11,2024,14.69,13.56,Low,21,Cash,Pending
South America,Argentina,Furniture,Table,13783.52,2023,5.6,13.38,Low,53,Cash,Delivered
North America,Mexico,Furniture,Bed,15922.23,2024,6.9,46.19,Medium,68,Cash,Pending
Europe,France,Electronics,Tablet,9071.05,2024,20.12,16.02,High,35,Credit Card,Pending
Europe,Italy,Food,Milk,7332.41,2023,14.38,37.39,Medium,40,Cash,Pending
Asia,Japan,Clothing,Jacket,3883.94,2024,26.38,10.04,High,19,Bank Transfer,Shipped
Africa,Nigeria,Clothing,Dress,7401.94,2023,24.69,31.81,Medium,67,Bank Transfer,Shipped
Asia,Japan,Electronics,Smartphone,15640.29,2025,20.47,33.94,Low,23,Bank Transfer,Pending
Europe,Germany,Clothing,Jacket,19179.66,2023,29.86,31.15,Medium,21,Bank Transfer,Shipped
Europe,Germany,Food,Fruit,19107.83,2024,16.4,30.96,Low,31,PayPal,Pending
South America,Chile,Electronics,Laptop,2114.43,2023,25.97,45.9,Low,50,Cash,Pending
South America,Brazil,Clothing,Dress,7434.53,2023,14.53,37.88,Low,40,Cash,Delivered
Europe,Italy,Electronics,Camera,3769.81,2023,23.39,25.84,High,36,Cash,Shipped
North America,Mexico,Clothing,Shirt,16282.07,2023,6.41,11.39,High,41,Bank Transfer,Shipped
Asia,South Korea,Electronics,Tablet,17665.15,2023,17.49,18.47,High,55,Cash,Delivered
North America,USA,Food,Milk,3172.85,2023,22.69,44.51,Low,27,Bank Transfer,Delivered
Europe,UK,Furniture,Chair,7989.4,2023,16.12,38.62,Low,51,Credit Card,Pending
Europe,Germany,Food,Cheese,3174.43,2025,14.47,32.85,High,54,PayPal,Shipped
Europe,Italy,Clothing,Jeans,1611.14,2023,7.23,14.85,High,53,Credit Card,Shipped
Africa,Nigeria,Electronics,Smartphone,8042.14,2025,8.88,41.85,High,45,Cash,Shipped
Asia,Japan,Furniture,Table,9253.94,2024,14.3,21.71,Medium,39,Cash,Pending
Africa,Nigeria,Food,Milk,18528.67,2025,11.22,34.62,Low,30,Cash,Shipped
North America,Canada,Clothing,Dress,17525.83,2024,13.3,12.14,Medium,28,Bank Transfer,Shipped
North America,Canada,Furniture,Bed,14209.68,2023,28.58,49.63,Low,38,Credit Card,Delivered
Africa,Nigeria,Clothing,Dress,13028.69,2023,9.82,14.49,Medium,59,Credit Card,Delivered
Africa,South Africa,Furniture,Table,12612.34,2025,6.72,22.11,Low,64,Cash,Pending
Africa,Nigeria,Furniture,Chair,1607.68,2025,15.37,39.24,Low,60,PayPal,Pending
South America,Brazil,Food,Fruit,17402.02,2023,5.64,33.32,Low,66,Credit Card,Shipped
Asia,India,Clothing,Jacket,6463.66,2023,21.04,38.07,Medium,50,PayPal,Pending
Africa,Nigeria,Furniture,Bed,13241.87,2023,5.57,36.95,Medium,64,Cash,Shipped
North America,Canada,Food,Fruit,12051.07,2023,25.89,13.66,Low,29,Cash,Delivered
Africa,Egypt,Food,Fruit,3861.07,2025,20.54,21.58,Medium,67,Credit Card,Shipped
Europe,Italy,Electronics,Tablet,18644.08,2024,24.95,49.74,Medium,34,Credit Card,Shipped
Europe,France,Furniture,Bed,15382.65,2024,6.93,36.68,Low,58,PayPal,Pending
South America,Argentina,Food,Bread,3625.92,2024,29.1,15.98,High,22,Credit Card,Delivered
North America,Canada,Food,Cheese,5735.11,2023,11.34,32.7,High,63,Credit Card,Pending
Africa,South Africa,Food,Fruit,13791.93,2023,13.51,15.4,Medium,59,PayPal,Pending
North America,Canada,Furniture,Chair,10697.92,2023,22.56,13.86,Medium,51,Credit Card,Pending
South America,Chile,Furniture,Sofa,4376.03,2023,27.0,28.54,High,39,Bank Transfer,Shipped
Europe,France,Clothing,Shirt,831.27,2023,13.2,38.51,Medium,59,PayPal,Delivered
North America,Canada,Food,Bread,7226.22,2023,19.95,24.3,High,38,PayPal,Shipped
Europe,Germany,Food,Bread,5819.99,2024,10.1,15.18,Medium,39,Credit Card,Pending
Africa,Nigeria,Clothing,Jacket,14761.48,2025,17.98,22.27,Low,57,Cash,Shipped
Asia,South Korea,Furniture,Sofa,7117.9,2024,13.62,19.73,Low,22,Bank Transfer,Shipped
Europe,UK,Food,Cheese,3078.28,2023,17.98,16.4,Low,19,Credit Card,Shipped
Asia,Japan,Food,Milk,10703.49,2023,23.45,19.98,High,24,PayPal,Shipped
North America,USA,Clothing,Jeans,351.44,2025,23.1,20.7,High,24,Credit Card,Shipped
North America,Mexico,Clothing,Jacket,8797.99,2023,12.02,44.73,High,62,Credit Card,Shipped
Asia,India,Furniture,Table,1795.09,2024,28.68,46.89,High,46,Credit Card,Pending
Africa,South Africa,Food,Fruit,19164.31,2024,27.93,14.42,Low,37,PayPal,Shipped
Africa,South Africa,Electronics,Camera,14287.8,2023,7.97,42.0,Low,52,Cash,Shipped
Europe,UK,Clothing,Jacket,7163.01,2023,14.69,23.54,Low,60,Credit Card,Shipped
North America,Canada,Furniture,Chair,2483.63,2023,18.64,19.52,High,27,PayPal,Shipped
Asia,India,Electronics,Smartphone,6019.7,2023,23.08,48.33,High,52,Credit Card,Delivered
Europe,UK,Furniture,Bed,18954.5,2024,27.38,45.92,Low,32,Bank Transfer,Delivered
South America,Argentina,Furniture,Sofa,1912.32,2025,25.06,36.15,High,60,Credit Card,Shipped
North America,Canada,Furniture,Table,19130.61,2025,6.89,43.1,Medium,50,Credit Card,Delivered
North America,Canada,Food,Bread,16409.49,2023,18.92,30.44,Medium,23,Credit Card,Shipped
South America,Argentina,Furniture,Table,18393.57,2024,24.21,36.27,Low,24,Cash,Pending
Asia,Japan,Food,Cheese,2682.67,2024,9.31,24.41,Medium,45,Bank Transfer,Delivered
South America,Chile,Food,Fruit,10819.14,2024,23.71,36.1,High,44,Bank Transfer,Shipped
Asia,China,Food,Fruit,19217.31,2023,15.66,38.25,High,29,Cash,Delivered
South America,Argentina,Electronics,Laptop,19005.1,2025,7.36,45.22,Medium,49,Cash,Pending
Asia,South Korea,Clothing,Shirt,16200.79,2023,23.11,21.42,Low,61,Cash,Delivered
Europe,France,Clothing,Dress,1345.54,2025,14.16,17.93,Low,44,Bank Transfer,Shipped
Europe,France,Electronics,Smartphone,4335.96,2023,13.52,18.11,Medium,27,Credit Card,Delivered
Africa,Nigeria,Furniture,Sofa,8256.91,2025,29.43,43.98,Low,36,PayPal,Pending
Europe,UK,Clothing,Jacket,17673.85,2025,21.7,22.93,High,21,Credit Card,Shipped
Asia,China,Clothing,Shirt,8394.23,2023,14.38,31.29,High,36,PayPal,Delivered
North America,USA,Furniture,Table,19507.86,2025,24.8,21.63,Low,18,PayPal,Pending
Asia,Japan,Clothing,Shirt,10249.64,2023,28.01,11.42,Medium,43,Credit Card,Pending
Asia,Japan,Electronics,Laptop,1397.21,2023,22.12,16.91,Low,55,Cash,Shipped
North America,Canada,Electronics,Smartphone,7263.4,2025,11.53,22.99,Low,42,PayPal,Delivered
Europe,Italy,Food,Bread,16186.29,2024,26.76,20.24,High,57,Bank Transfer,Delivered
Europe,UK,Furniture,Table,9612.4,2023,16.42,13.45,High,26,PayPal,Shipped
North America,Canada,Furniture,Sofa,12604.25,2023,12.51,10.16,High,43,PayPal,Pending
South America,Argentina,Clothing,Jacket,19098.03,2025,5.13,36.39,High,23,Cash,Shipped
Europe,France,Food,Cheese,8380.47,2025,5.27,37.36,Low,34,PayPal,Delivered
South America,Brazil,Electronics,Tablet,16661.9,2025,15.14,19.22,Medium,49,Cash,Shipped
Asia,India,Electronics,Tablet,14534.21,2024,29.79,14.74,Medium,58,PayPal,Shipped
North America,Mexico,Clothing,Jeans,17505.87,2024,5.99,17.54,Low,69,Credit Card,Shipped
Asia,China,Furniture,Table,7780.52,2023,22.97,26.83,High,20,Bank Transfer,Shipped
North America,Mexico,Food,Milk,2890.4,2024,14.49,31.91,High,39,Bank Transfer,Delivered
North America,Canada,Electronics,Camera,15810.53,2023,28.09,46.45,Low,61,PayPal,Delivered
South America,Chile,Clothing,Shirt,12427.49,2023,12.77,47.15,Low,34,Bank Transfer,Pending
North America,Mexico,Food,Milk,11629.61,2025,9.26,43.89,Low,53,PayPal,Delivered
North America,Canada,Electronics,Smartphone,14420.1,2024,15.82,45.24,Low,18,Credit Card,Delivered
South America,Brazil,Electronics,Camera,2124.22,2024,29.01,44.86,Low,50,PayPal,Shipped
Africa,Nigeria,Food,Bread,1422.25,2025,14.67,18.31,High,20,Bank Transfer,Pending
North America,Mexico,Furniture,Sofa,5338.66,2023,14.32,17.1,High,28,Credit Card,Shipped
North America,Mexico,Clothing,Shirt,9621.41,2025,17.2,25.33,Low,68,Bank Transfer,Shipped
Africa,Egypt,Clothing,Shirt,7433.38,2024,12.55,27.68,High,59,Credit Card,Shipped
Asia,Japan,Food,Milk,11264.92,2024,27.89,16.9,Low,67,PayPal,Shipped
Europe,France,Furniture,Sofa,12383.85,2024,26.6,16.94,Medium,55,Cash,Pending
Africa,Egypt,Food,Cheese,19909.78,2023,17.39,37.18,Low,25,Bank Transfer,Shipped
South America,Brazil,Clothing,Dress,935.26,2023,22.86,33.15,Medium,49,Bank Transfer,Shipped
Asia,China,Food,Milk,15130.86,2023,17.37,27.07,High,35,Bank Transfer,Shipped
Africa,South Africa,Electronics,Tablet,628.21,2024,26.16,13.58,High,52,Credit Card,Shipped
South America,Chile,Electronics,Laptop,10344.71,2023,8.6,21.06,High,31,Credit Card,Shipped
North America,Mexico,Furniture,Bed,19820.91,2024,13.66,27.16,Medium,41,PayPal,Shipped
Africa,South Africa,Furniture,Sofa,11180.36,2023,21.97,12.89,Medium,60,PayPal,Delivered
North America,Canada,Food,Fruit,3142.46,2025,29.82,22.85,Medium,18,Bank Transfer,Pending
Africa,Egypt,Food,Cheese,17892.05,2023,11.5,39.24,High,29,PayPal,Shipped
Asia,India,Clothing,Jeans,16953.66,2023,14.77,11.34,High,28,Cash,Shipped
Asia,South Korea,Food,Milk,8271.18,2023,15.24,13.35,Low,47,Bank Transfer,Shipped
Europe,France,Clothing,Shirt,536.05,2023,7.79,13.17,Low,48,Bank Transfer,Pending
Asia,India,Clothing,Shirt,7268.7,2024,21.37,27.47,Medium,41,Bank Transfer,Shipped
North America,USA,Electronics,Laptop,8059.12,2023,15.56,25.39,Low,48,Credit Card,Pending
Europe,Germany,Food,Fruit,295.06,2024,28.44,42.87,Low,68,Cash,Pending
Europe,Italy,Clothing,Jeans,13073.43,2024,10.4,23.63,High,20,Bank Transfer,Pending
South America,Argentina,Food,Fruit,13508.9,2025,21.7,37.4,Medium,58,Cash,Pending
South America,Argentina,Clothing,Jeans,9348.49,2024,28.58,10.3,Medium,46,Credit Card,Shipped
Europe,Germany,Furniture,Chair,14009.84,2023,23.33,36.44,High,41,Bank Transfer,Pending
South America,Chile,Food,Bread,5789.58,2025,20.04,19.15,Medium,70,Cash,Pending
Europe,Germany,Electronics,Laptop,17801.53,2024,28.48,42.76,Medium,60,PayPal,Delivered
South America,Brazil,Clothing,Jeans,2809.71,2024,10.2,42.64,High,59,Bank Transfer,Shipped
Asia,South Korea,Furniture,Table,6814.66,2025,25.8,42.73,High,46,PayPal,Delivered
South America,Chile,Food,Bread,14553.41,2024,24.31,38.32,High,19,Credit Card,Pending
South America,Brazil,Electronics,Smartphone,3817.5,2023,9.48,40.99,High,37,Cash,Delivered
Europe,France,Furniture,Table,12196.43,2024,21.43,40.44,Low,36,Cash,Pending
South America,Argentina,Electronics,Tablet,11987.08,2025,13.46,10.46,High,40,PayPal,Pending
North America,Canada,Food,Cheese,16991.56,2025,18.49,27.52,Medium,28,PayPal,Delivered
Asia,China,Clothing,Jeans,11221.14,2025,8.81,40.79,Low,21,Credit Card,Delivered
Africa,Nigeria,Food,Cheese,16906.82,2025,10.52,15.7,Low,59,Cash,Delivered
North America,Canada,Furniture,Bed,12509.74,2024,18.5,45.86,Low,69,Bank Transfer,Delivered
South America,Brazil,Electronics,Smartphone,12897.61,2023,8.0,23.0,High,24,PayPal,Shipped
Africa,Egypt,Furniture,Table,7766.64,2025,16.39,12.14,High,36,Bank Transfer,Pending
Africa,Egypt,Food,Cheese,142.22,2025,20.54,48.02,Medium,50,Bank Transfer,Delivered
Europe,Germany,Clothing,Shirt,17027.31,2025,13.92,19.84,Medium,22,Credit Card,Shipped
Africa,Nigeria,Furniture,Table,13340.77,2025,20.0,30.06,High,39,PayPal,Shipped
Africa,Nigeria,Food,Cheese,13864.92,2025,7.74,22.36,Medium,26,Credit Card,Shipped
Africa,Egypt,Food,Fruit,6727.97,2025,7.3,39.75,Low,64,Bank Transfer,Shipped
Asia,Japan,Clothing,Dress,1379.84,2025,8.22,28.04,High,61,PayPal,Shipped
North America,Canada,Clothing,Jeans,6178.04,2025,26.04,16.39,Low,18,Credit Card,Delivered
Africa,Nigeria,Clothing,Shirt,13724.59,2024,12.16,49.13,Medium,25,PayPal,Pending
